aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
東北,JR東北本線,岩手飯岡,いわていいおか,"
矢幅	仙北町	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.0.200N39.39.3.500&ZM=8&SZ=672,120",盛岡市永井,0200834,"
東北本線
"
東北,JR東北本線,仙北町,せんぼくちょう,"
岩手飯岡	盛岡	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.8.500N39.41.5.300&ZM=8&SZ=672,120",盛岡市仙北,0200861,"
東北本線
"
東北,JR東北本線,盛岡,もりおか,"
仙北町		","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.8.22.400N39.41.54.600&ZM=8&SZ=672,120",盛岡市盛岡駅前通,0200034,"
いわて銀河鉄道
山田線
東北・北海道新幹線
東北本線
田沢湖線
"
東北,JR水郡線,水戸,みと,"
	常陸青柳	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.28.48.900N36.22.3.600&ZM=8&SZ=672,120",水戸市宮町,3100015,"
常磐線
水戸線
水郡線
鹿島臨海鉄道大洗鹿島線
"
東北,JR水郡線,常陸青柳,ひたちあおやぎ,"
水戸	常陸津田	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.29.15.900N36.22.49.300&ZM=8&SZ=672,120",ひたちなか市枝川,3120035,"
水郡線
"
東北,JR水郡線,常陸津田,ひたちつだ,"
常陸青柳	後台	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.29.10.300N36.24.3.500&ZM=8&SZ=672,120",ひたちなか市津田,3120032,"
水郡線
"
東北,JR水郡線,後台,ごだい,"
常陸津田	下菅谷	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.29.36.400N36.25.15.200&ZM=8&SZ=672,120",那珂市後台,3110111,"
水郡線
"
東北,JR水郡線,下菅谷,しもすがや,"
後台	中菅谷	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.29.50.800N36.25.55.400&ZM=8&SZ=672,120",那珂市菅谷,3110105,"
水郡線
"
東北,JR水郡線,中菅谷,なかすがや,"
下菅谷	上菅谷	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.29.45.500N36.26.33.200&ZM=8&SZ=672,120",那珂市菅谷,3110105,"
水郡線
"
東北,JR水郡線,上菅谷,かみすがや,"
中菅谷	南酒出	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E140.29.44.700N36.27.9.400&ZM=8&SZ=672,120",那珂市菅谷,3110105,"
水郡線
"
